Title
肖申克的救赎/TheShawshankRedemption/月黑高飞(港)/刺激1995(台)
霸王别姬/再见，我的妾/FarewellMyConcubine
阿甘正传/ForrestGump/福雷斯特·冈普
泰坦尼克号/Titanic/铁达尼号(港/台)
千与千寻/千と千尋の神隠し/神隐少女(台)/千与千寻的神隐
美丽人生/Lavitaèbella/一个快乐的传说(港)/LifeIsBeautiful
这个杀手不太冷/Léon/终极追杀令(台)/杀手莱昂
星际穿越/Interstellar/星际启示录(港)/星际效应(台)
盗梦空间/Inception/潜行凶间(港)/全面启动(台)
楚门的世界/TheTrumanShow/真人Show(港)/真人戏
辛德勒的名单/Schindler'sList/舒特拉的名单(港)/辛德勒名单
忠犬八公的故事/Hachi:ADog'sTale/秋田犬八千(港)/忠犬小八(台)
海上钢琴师/Laleggendadelpianistasull'oceano/声光伴我飞(港)/一九零零的传奇
三傻大闹宝莱坞/3Idiots/三个傻瓜(台)/作死不离3兄弟(港)
放牛班的春天/Leschoristes/歌声伴我心(港)/唱诗班男孩
机器人总动员/WALL·E/太空奇兵·威E(港)/瓦力(台)
疯狂动物城/Zootopia/优兽大都会(港)/动物方城市(台)
无间道/無間道/InfernalAffairs/Mougaandou
控方证人/WitnessfortheProsecution/雄才伟略/情妇
大话西游之大圣娶亲/西遊記大結局之仙履奇緣/西游记完结篇仙履奇缘/齐天大圣西游记
熔炉/도가니/无声呐喊(港)/漩涡
教父/TheGodfather/MarioPuzo'sTheGodfather
触不可及/Intouchables/闪亮人生(港)/逆转人生(台)
当幸福来敲门/ThePursuitofHappyness/寻找快乐的故事(港)/追求快乐
寻梦环游记/Coco/玩转极乐园(港)/可可夜总会(台)
末代皇帝/TheLastEmperor/末代皇帝溥仪(港)/L'ultimoimperatore
龙猫/となりのトトロ/邻居托托罗/邻家的豆豆龙
怦然心动/Flipped/萌动青春/青春萌动
哈利·波特与魔法石/HarryPotterandtheSorcerer'sStone/哈利波特1：神秘的魔法石(港/台)
活着/人生/Lifetimes
蝙蝠侠：黑暗骑士/TheDarkKnight/蝙蝠侠前传2：黑暗骑士/黑暗骑士(台)
指环王3：王者无敌/TheLordoftheRings:TheReturnoftheKing/魔戒三部曲：王者再临(台/港)
我不是药神/中国药神/印度药神
乱世佳人/GonewiththeWind/飘
飞屋环游记/Up/冲天救兵(港)/天外奇迹(台)
素媛/소원/许愿/希望：为爱重生(台)
哈尔的移动城堡/ハウルの動く城/哈尔移动城堡(港)/霍尔的移动城堡(台)
让子弹飞/让子弹飞一会儿/火烧云
十二怒汉/12AngryMen/12怒汉/十二怒汉
何以为家/كفرناحوم/迦百农/星仔打官司(港)
海蒂和爷爷/Heidi/飘零燕(港)/海蒂
猫鼠游戏/CatchMeIfYouCan/逍遥法外/捉智双雄(港)
摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)/打死不离3父女(港)
天空之城/天空の城ラピュタ/天空之城拉普他/空中城堡拉普他
鬼子来了/DevilsontheDoorstep
少年派的奇幻漂流/LifeofPi/少年Pi的奇幻漂流/漂流少年Pi
钢琴家/ThePianist/钢琴战曲(港)/战地琴人(台)
指环王2：双塔奇兵/TheLordoftheRings:TheTwoTowers/魔戒二部曲：双城奇谋/指环王II：双塔
大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒/齐天大圣东游记
闻香识女人/ScentofaWoman/女人香/女人的芳香
死亡诗社/DeadPoetsSociety/暴雨骄阳(港)/春风化雨(台)
绿皮书/GreenBook/绿簿旅友(港)/幸福绿皮书(台)
大闹天宫/大闹天宫上下集/TheMonkeyKing
罗马假日/RomanHoliday/金枝玉叶(港)/罗马假期(台)
黑客帝国/TheMatrix/22世纪杀人网络(港)/廿二世纪杀人网络(港)
指环王1：护戒使者/TheLordoftheRings:TheFellowshipoftheRing/指环王1：魔戒再现/指环王I：护戒使者
教父2/TheGodfather:PartII/教父续集(港)/教父II
天堂电影院/NuovoCinemaParadiso/星光伴我心(港)/新天堂乐园(台)
狮子王/TheLionKing/狮子王3D
辩护人/변호인/逆权大状(港)/正义辩护人(台)
饮食男女/飲食男女/EatDrinkManWoman
搏击俱乐部/FightClub/搏击会(港)/斗阵俱乐部(台)
本杰明·巴顿奇事/TheCuriousCaseofBenjaminButton/奇幻逆缘(港)/班杰明的奇幻旅程(台)
美丽心灵/ABeautifulMind/有你终生美丽(港)/美丽境界(台)
穿条纹睡衣的男孩/TheBoyintheStripedPajamas/穿条纹衣服的男孩/穿条纹衣的男孩
窃听风暴/DasLebenderAnderen/窃听者(港)/他人的生活
